time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.250 1700 0.067 0.067 1700 0.020 0.020 1700 0.025 0.025 1700 0.000 0.000 1700 0.067 0.067 1700 0.020 0.020 1700 0.025 0.025 1700 0.000 0.000 1700 0.223 0.067 0.223 0.067
0.500 1500 0.100 0.113 1500 0.387 0.478 1500 0.067 0.076 1500 0.033 0.038 1500 0.100 0.113 1500 0.387 0.478 1500 0.067 0.076 1500 0.033 0.038 1500 1.173 0.387 1.410 0.478
0.750 2401 0.233 0.214 2401 0.000 0.040 2401 0.000 0.000 2401 0.000 0.000 2401 0.233 0.214 2401 0.000 0.040 2401 0.000 0.000 2401 0.000 0.000 2401 0.467 0.233 0.508 0.233
1.000 2200 0.025 0.019 2200 0.000 0.000 2200 0.033 0.026 2200 0.000 0.000 2200 0.025 0.019 2200 0.000 0.000 2200 0.033 0.026 2200 0.000 0.000 2200 0.117 0.033 0.090 0.033
1.250 1900 0.108 0.097 1900 0.150 0.134 1900 0.087 0.078 1900 0.225 0.201 1900 0.108 0.097 1900 0.150 0.134 1900 0.087 0.078 1900 0.225 0.201 1900 1.140 0.225 1.020 0.225
1.500 2401 0.100 0.083 2401 0.117 0.095 2401 0.142 0.111 2401 0.133 0.094 2401 0.100 0.083 2401 0.117 0.095 2401 0.142 0.111 2401 0.133 0.094 2401 0.983 0.142 0.768 0.142
1.750 2401 0.092 0.065 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.092 0.065 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.183 0.092 0.130 0.092
2.000 2200 0.117 0.088 2200 0.000 0.000 2200 0.000 0.000 2200 0.000 0.000 2200 0.117 0.088 2200 0.000 0.000 2200 0.000 0.000 2200 0.000 0.000 2200 0.233 0.117 0.176 0.117
2.250 1900 0.000 0.000 1900 0.033 0.030 1900 0.033 0.030 1900 0.033 0.026 1900 0.000 0.000 1900 0.033 0.030 1900 0.033 0.030 1900 0.033 0.026 1900 0.200 0.033 0.171 0.033
2.500 1700 0.133 0.133 1700 0.000 0.000 1700 0.203 0.203 1700 0.225 0.225 1700 0.133 0.133 1700 0.000 0.000 1700 0.203 0.203 1700 0.225 0.225 1700 1.123 0.225 1.123 0.225
