time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.025 1700 0.333 0.333 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.333 0.333 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.667 0.333 0.667 0.333
0.050 1700 0.333 0.333 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.333 0.333 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.667 0.333 0.667 0.333
0.075 1700 0.000 0.000 1700 0.200 0.200 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.200 0.200 1700 0.000 0.000 1700 0.000 0.000 1700 0.400 0.200 0.400 0.200
0.100 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.125 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.150 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.175 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.200 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.225 1700 0.000 0.000 1700 0.000 0.000 1700 0.250 0.250 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.250 0.250 1700 0.000 0.000 1700 0.500 0.250 0.500 0.250
0.250 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.275 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.300 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.325 1700 0.333 0.333 1700 0.200 0.200 1700 0.000 0.000 1700 0.333 0.333 1700 0.333 0.333 1700 0.200 0.200 1700 0.000 0.000 1700 0.333 0.333 1700 1.733 0.333 1.733 0.333
0.350 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.375 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.400 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.425 1700 0.333 0.333 1700 0.667 0.667 1700 0.667 0.667 1700 0.000 0.000 1700 0.333 0.333 1700 0.667 0.667 1700 0.667 0.667 1700 0.000 0.000 1700 3.333 0.667 3.333 0.667
0.450 1700 0.333 0.333 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.333 0.333 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 2.667 1.000 2.667 1.000
0.475 1700 0.000 0.000 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 2.000 1.000 2.000 1.000
0.500 1700 0.000 0.000 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 2.000 1.000 2.000 1.000
0.525 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 2.000 1.000 2.000 1.000
0.550 900 1.000 1.889 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 1.000 1.889 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 2.000 1.000 3.778 1.889
0.575 900 0.333 1.815 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.333 1.815 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.667 0.333 3.630 1.815
0.600 900 0.000 0.815 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.815 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 1.630 0.815
0.625 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 0.000 0.000
0.650 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 0.000 0.000
0.675 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 0.000 0.000
0.700 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 0.000 0.000
0.725 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 0.000 0.000
0.750 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 0.000 0.000
0.775 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 0.000 0.000
0.800 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 0.000 0.000
0.825 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 0.000 0.000
0.850 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 0.000 0.000
