time[s] cpu.0.freq[Mhz] cpu.0.recload cpu.0.load cpu.1.freq[Mhz] cpu.1.recload cpu.1.load cpu.2.freq[Mhz] cpu.2.recload cpu.2.load cpu.3.freq[Mhz] cpu.3.recload cpu.3.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.250 1700 0.067 0.067 1700 0.020 0.020 1700 0.025 0.025 1700 0.000 0.000 1700 0.112 0.067 0.112 0.067
0.500 1700 0.100 0.100 1700 0.387 0.387 1700 0.067 0.067 1700 0.033 0.033 1700 0.587 0.387 0.587 0.387
0.750 2401 0.233 0.194 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.233 0.233 0.194 0.233
1.000 2401 0.025 0.018 2401 0.000 0.000 2401 0.033 0.024 2401 0.000 0.000 2401 0.058 0.033 0.041 0.033
1.250 2401 0.108 0.077 2401 0.150 0.106 2401 0.087 0.061 2401 0.225 0.159 2401 0.570 0.225 0.404 0.225
1.500 2401 0.100 0.071 2401 0.117 0.083 2401 0.142 0.100 2401 0.133 0.094 2401 0.492 0.142 0.348 0.142
1.750 2401 0.092 0.065 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.092 0.092 0.065 0.092
2.000 2401 0.117 0.083 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.117 0.117 0.083 0.117
2.250 2401 0.000 0.000 2401 0.033 0.024 2401 0.033 0.024 2401 0.033 0.024 2401 0.100 0.033 0.071 0.033
2.500 2401 0.133 0.094 2401 0.000 0.000 2401 0.203 0.144 2401 0.225 0.159 2401 0.562 0.225 0.398 0.225
2.750 2401 0.267 0.189 2401 0.000 0.000 2401 0.000 0.000 2401 0.033 0.024 2401 0.300 0.267 0.212 0.267
3.000 2401 0.033 0.024 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.033 0.033 0.024 0.033
3.250 2401 0.133 0.094 2401 0.187 0.132 2401 0.125 0.088 2401 0.100 0.071 2401 0.545 0.187 0.386 0.187
3.500 2401 0.133 0.094 2401 0.267 0.189 2401 0.025 0.018 2401 0.140 0.099 2401 0.565 0.267 0.400 0.267
3.750 2401 0.092 0.065 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.092 0.092 0.065 0.092
4.000 2401 0.150 0.106 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.150 0.150 0.106 0.150
4.250 2401 0.025 0.018 2401 0.000 0.000 2401 0.000 0.000 2401 0.067 0.047 2401 0.092 0.067 0.065 0.067
4.500 2401 0.267 0.189 2401 0.075 0.053 2401 0.167 0.118 2401 0.100 0.071 2401 0.608 0.267 0.431 0.267
4.750 2401 0.067 0.047 2401 0.220 0.156 2401 0.133 0.094 2401 0.000 0.000 2401 0.420 0.220 0.297 0.220
5.000 2401 0.033 0.024 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.033 0.033 0.024 0.033
5.250 2401 0.133 0.094 2401 0.045 0.032 2401 0.075 0.053 2401 0.050 0.035 2401 0.303 0.133 0.215 0.133
