time[s] cpu.0.freq[Mhz] cpu.0.recload cpu.0.load cpu.1.freq[Mhz] cpu.1.recload cpu.1.load cpu.2.freq[Mhz] cpu.2.recload cpu.2.load cpu.3.freq[Mhz] cpu.3.recload cpu.3.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.025 1700 0.333 0.333 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.333 0.333 0.333 0.333
0.050 1700 0.333 0.333 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.333 0.333 0.333 0.333
0.075 1700 0.000 0.000 1700 0.200 0.200 1700 0.000 0.000 1700 0.000 0.000 1700 0.200 0.200 0.200 0.200
0.100 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.125 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.150 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.175 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.200 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.225 1700 0.000 0.000 1700 0.000 0.000 1700 0.250 0.250 1700 0.000 0.000 1700 0.250 0.250 0.250 0.250
0.250 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.275 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.300 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.325 1500 0.333 0.378 1500 0.200 0.227 1500 0.000 0.000 1500 0.333 0.378 1500 0.867 0.333 0.982 0.378
0.350 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.375 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.400 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.425 1500 0.333 0.378 1500 0.667 0.756 1500 0.667 0.756 1500 0.000 0.000 1500 1.667 0.667 1.889 0.756
0.450 1500 0.333 0.378 1500 1.000 1.133 1500 0.000 0.000 1500 0.000 0.000 1500 1.333 1.000 1.511 1.133
0.475 1500 0.000 0.000 1500 1.000 1.267 1500 0.000 0.000 1500 0.000 0.000 1500 1.000 1.000 1.267 1.267
0.500 1500 0.000 0.000 1500 1.000 1.400 1500 0.000 0.000 1500 0.000 0.000 1500 1.000 1.000 1.400 1.400
0.525 1500 1.000 1.133 1500 0.000 0.400 1500 0.000 0.000 1500 0.000 0.000 1500 1.000 1.000 1.533 1.133
0.550 1500 1.000 1.233 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 1.000 1.000 1.233 1.233
0.575 1500 0.333 0.689 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.333 0.333 0.689 0.689
0.600 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.625 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.650 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.675 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.700 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.725 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.750 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.775 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.800 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 0.000 0.000
0.825 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 0.000 0.000
0.850 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 0.000 0.000
0.875 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 0.000 0.000
0.900 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 0.000 0.000
0.925 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 0.000 0.000
0.950 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 0.000 0.000
0.975 1400 0.250 0.304 1400 0.000 0.000 1400 0.333 0.405 1400 0.000 0.000 1400 0.583 0.333 0.708 0.405
1.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 0.000 0.000
1.025 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 0.000 0.000
1.050 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 1400 0.000 0.000 0.000 0.000
1.075 1200 0.000 0.000 1200 0.333 0.472 1200 0.000 0.000 1200 0.000 0.000 1200 0.333 0.333 0.472 0.472
1.100 1200 0.000 0.000 1200 0.500 0.708 1200 0.000 0.000 1200 0.000 0.000 1200 0.500 0.500 0.708 0.708
1.125 1200 0.000 0.000 1200 0.000 0.000 1200 0.200 0.283 1200 0.000 0.000 1200 0.200 0.200 0.283 0.283
1.150 1200 0.333 0.472 1200 0.333 0.472 1200 0.333 0.472 1200 0.333 0.472 1200 1.333 0.333 1.889 0.472
1.175 1200 0.000 0.000 1200 0.000 0.000 1200 0.000 0.000 1200 0.500 0.708 1200 0.500 0.500 0.708 0.708
1.200 1200 0.000 0.000 1200 0.000 0.000 1200 0.000 0.000 1200 0.250 0.354 1200 0.250 0.250 0.354 0.354
1.225 1200 0.750 1.062 1200 0.000 0.000 1200 0.333 0.472 1200 0.500 0.708 1200 1.583 0.750 2.243 1.062
1.250 1200 0.000 0.083 1200 0.333 0.472 1200 0.000 0.000 1200 0.667 0.944 1200 1.000 0.667 1.500 0.944
1.275 1200 0.000 0.000 1200 0.667 0.944 1200 0.250 0.354 1200 0.000 0.000 1200 0.917 0.667 1.299 0.944
1.300 1200 0.667 0.944 1200 0.000 0.000 1200 0.333 0.472 1200 0.000 0.000 1200 1.000 0.667 1.417 0.944
1.325 1200 0.000 0.000 1200 0.000 0.000 1200 0.000 0.000 1200 1.000 1.417 1200 1.000 1.000 1.417 1.417
1.350 2300 0.000 0.000 2300 0.500 0.370 2300 0.500 0.370 2300 0.333 0.464 2300 1.333 0.500 1.203 0.464
1.375 2300 0.333 0.246 2300 0.000 0.000 2300 0.333 0.246 2300 0.000 0.000 2300 0.667 0.333 0.493 0.246
1.400 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 0.000 0.000
1.425 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 0.000 0.000
1.450 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 0.000 0.000
1.475 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 0.000 0.000
1.500 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 0.000 0.000
1.525 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 0.000 0.000
1.550 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 0.000 0.000
1.575 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 2300 0.000 0.000 0.000 0.000
1.600 2000 0.333 0.283 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.333 0.333 0.283 0.283
1.625 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
1.650 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
1.675 2000 0.250 0.212 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.250 0.250 0.212 0.212
1.700 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
1.725 2000 0.333 0.283 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.333 0.333 0.283 0.283
1.750 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
1.775 2000 0.333 0.283 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.333 0.333 0.283 0.283
1.800 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
1.825 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 2000 0.000 0.000 0.000 0.000
