time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load cpu.8.freq[MHz] cpu.8.recload cpu.8.load cpu.9.freq[MHz] cpu.9.recload cpu.9.load cpu.10.freq[MHz] cpu.10.recload cpu.10.load cpu.11.freq[MHz] cpu.11.recload cpu.11.load cpu.12.freq[MHz] cpu.12.recload cpu.12.load cpu.13.freq[MHz] cpu.13.recload cpu.13.load cpu.14.freq[MHz] cpu.14.recload cpu.14.load cpu.15.freq[MHz] cpu.15.recload cpu.15.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.250 2528 0.000 0.000 2528 0.033 0.033 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.033 1.000 2.033 1.000
0.500 2528 0.033 0.033 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.033 1.000 2.033 1.000
0.750 2528 0.033 0.033 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.150 0.150 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.183 1.000 2.183 1.000
1.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.006 0.006 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.006 1.000 2.006 1.000
1.250 2528 0.025 0.025 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.933 0.933 2528 0.000 0.000 2528 0.000 0.000 2528 0.002 0.002 2528 1.960 1.000 1.960 1.000
1.500 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.017 0.017 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.017 1.000 2.017 1.000
1.750 2528 0.292 0.292 2528 0.000 0.000 2528 0.167 0.167 2528 0.000 0.000 2528 0.058 0.058 2528 0.000 0.000 2528 0.167 0.167 2528 0.033 0.033 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.717 1.000 2.717 1.000
2.000 2528 0.133 0.133 2528 0.268 0.268 2528 0.183 0.183 2528 0.317 0.317 2528 0.317 0.317 2528 0.242 0.242 2528 0.217 0.217 2528 0.192 0.192 2528 0.236 0.236 2528 0.142 0.142 2528 1.000 1.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.133 0.133 2528 0.225 0.225 2528 0.209 0.209 2528 4.813 1.000 4.813 1.000
2.250 2528 0.033 0.033 2528 0.074 0.074 2528 0.033 0.033 2528 0.000 0.000 2528 0.000 0.000 2528 0.050 0.050 2528 0.000 0.000 2528 0.000 0.000 2528 0.100 0.100 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.200 0.200 2528 0.742 0.742 2528 0.100 0.100 2528 0.100 0.100 2528 2.432 1.000 2.432 1.000
2.500 2528 0.033 0.033 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.033 0.033 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.067 1.000 2.067 1.000
2.750 2528 0.067 0.067 2528 0.000 0.000 2528 0.129 0.129 2528 0.000 0.000 2528 0.050 0.050 2528 0.033 0.033 2528 0.000 0.000 2528 0.058 0.058 2528 0.000 0.000 2528 0.317 0.317 2528 0.967 0.967 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.621 1.000 2.621 1.000
3.000 2528 0.083 0.083 2528 0.000 0.000 2528 0.025 0.025 2528 0.000 0.000 2528 0.100 0.100 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.100 0.100 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.308 1.000 2.308 1.000
3.250 2528 0.033 0.033 2528 0.033 0.033 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.033 0.033 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 1.000 1.000 2528 0.000 0.000 2528 0.000 0.000 2528 2.099 1.000 2.099 1.000
