time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load cpu.8.freq[MHz] cpu.8.recload cpu.8.load cpu.9.freq[MHz] cpu.9.recload cpu.9.load cpu.10.freq[MHz] cpu.10.recload cpu.10.load cpu.11.freq[MHz] cpu.11.recload cpu.11.load cpu.12.freq[MHz] cpu.12.recload cpu.12.load cpu.13.freq[MHz] cpu.13.recload cpu.13.load cpu.14.freq[MHz] cpu.14.recload cpu.14.load cpu.15.freq[MHz] cpu.15.recload cpu.15.load cpu.16.freq[MHz] cpu.16.recload cpu.16.load cpu.17.freq[MHz] cpu.17.recload cpu.17.load cpu.18.freq[MHz] cpu.18.recload cpu.18.load cpu.19.freq[MHz] cpu.19.recload cpu.19.load cpu.20.freq[MHz] cpu.20.recload cpu.20.load cpu.21.freq[MHz] cpu.21.recload cpu.21.load cpu.22.freq[MHz] cpu.22.recload cpu.22.load cpu.23.freq[MHz] cpu.23.recload cpu.23.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.500 2601 0.033 0.033 2601 0.017 0.017 2601 0.017 0.017 2601 0.017 0.017 2601 0.025 0.025 2601 0.029 0.029 2601 0.017 0.017 2601 0.000 0.000 2601 0.067 0.067 2601 0.017 0.017 2601 0.000 0.000 2601 0.350 0.350 2601 0.029 0.029 2601 0.067 0.067 2601 0.000 0.000 2601 0.354 0.354 2601 0.152 0.152 2601 0.000 0.000 2601 0.081 0.081 2601 0.108 0.108 2601 0.006 0.006 2601 0.025 0.025 2601 0.198 0.198 2601 0.075 0.075 2601 1.682 0.354 1.682 0.354
1.000 2601 0.031 0.031 2601 0.033 0.033 2601 0.017 0.017 2601 0.017 0.017 2601 0.033 0.033 2601 0.031 0.031 2601 0.023 0.023 2601 0.025 0.025 2601 0.048 0.048 2601 0.079 0.079 2601 0.167 0.167 2601 0.288 0.288 2601 0.046 0.046 2601 0.229 0.229 2601 0.113 0.113 2601 0.202 0.202 2601 0.247 0.247 2601 0.065 0.065 2601 0.207 0.207 2601 0.171 0.171 2601 0.044 0.044 2601 0.057 0.057 2601 0.151 0.151 2601 0.248 0.248 2601 2.572 0.288 2.572 0.288
1.500 2601 0.053 0.053 2601 0.037 0.037 2601 0.017 0.017 2601 0.039 0.039 2601 0.039 0.039 2601 0.032 0.032 2601 0.015 0.015 2601 0.028 0.028 2601 0.043 0.043 2601 0.099 0.099 2601 0.164 0.164 2601 0.295 0.295 2601 0.036 0.036 2601 0.185 0.185 2601 0.139 0.139 2601 0.170 0.170 2601 0.208 0.208 2601 0.085 0.085 2601 0.160 0.160 2601 0.260 0.260 2601 0.034 0.034 2601 0.044 0.044 2601 0.101 0.101 2601 0.288 0.288 2601 2.570 0.295 2.570 0.295
2.000 2601 0.040 0.040 2601 0.028 0.028 2601 0.012 0.012 2601 0.029 0.029 2601 0.029 0.029 2601 0.031 0.031 2601 0.011 0.011 2601 0.031 0.031 2601 0.070 0.070 2601 0.074 0.074 2601 0.165 0.165 2601 0.229 0.229 2601 0.048 0.048 2601 0.146 0.146 2601 0.110 0.110 2601 0.127 0.127 2601 0.178 0.178 2601 0.080 0.080 2601 0.160 0.160 2601 0.195 0.195 2601 0.050 0.050 2601 0.033 0.033 2601 0.157 0.157 2601 0.275 0.275 2601 2.308 0.275 2.308 0.275
2.500 2601 0.073 0.073 2601 0.030 0.030 2601 0.012 0.012 2601 0.029 0.029 2601 0.030 0.030 2601 0.027 0.027 2601 0.015 0.015 2601 0.050 0.050 2601 0.057 0.057 2601 0.074 0.074 2601 0.254 0.254 2601 0.148 0.148 2601 0.047 0.047 2601 0.162 0.162 2601 0.115 0.115 2601 0.057 0.057 2601 0.152 0.152 2601 0.106 0.106 2601 0.144 0.144 2601 0.190 0.190 2601 0.052 0.052 2601 0.043 0.043 2601 0.121 0.121 2601 0.270 0.270 2601 2.261 0.270 2.261 0.270
3.000 2601 0.076 0.076 2601 0.022 0.022 2601 0.016 0.016 2601 0.025 0.025 2601 0.020 0.020 2601 0.038 0.038 2601 0.028 0.028 2601 0.042 0.042 2601 0.101 0.101 2601 0.052 0.052 2601 0.175 0.175 2601 0.095 0.095 2601 0.081 0.081 2601 0.065 0.065 2601 0.072 0.072 2601 0.110 0.110 2601 0.137 0.137 2601 0.101 0.101 2601 0.060 0.060 2601 0.208 0.208 2601 0.031 0.031 2601 0.021 0.021 2601 0.110 0.110 2601 0.214 0.214 2601 1.899 0.214 1.899 0.214
3.500 2601 0.065 0.065 2601 0.010 0.010 2601 0.016 0.016 2601 0.024 0.024 2601 0.029 0.029 2601 0.034 0.034 2601 0.032 0.032 2601 0.042 0.042 2601 0.097 0.097 2601 0.089 0.089 2601 0.202 0.202 2601 0.018 0.018 2601 0.076 0.076 2601 0.045 0.045 2601 0.095 0.095 2601 0.159 0.159 2601 0.106 0.106 2601 0.125 0.125 2601 0.048 0.048 2601 0.098 0.098 2601 0.028 0.028 2601 0.035 0.035 2601 0.110 0.110 2601 0.159 0.159 2601 1.741 0.202 1.741 0.202
4.000 2601 0.065 0.065 2601 0.010 0.010 2601 0.020 0.020 2601 0.024 0.024 2601 0.033 0.033 2601 0.031 0.031 2601 0.038 0.038 2601 0.032 0.032 2601 0.077 0.077 2601 0.089 0.089 2601 0.185 0.185 2601 0.015 0.015 2601 0.055 0.055 2601 0.126 0.126 2601 0.088 0.088 2601 0.175 0.175 2601 0.084 0.084 2601 0.117 0.117 2601 0.039 0.039 2601 0.099 0.099 2601 0.003 0.003 2601 0.038 0.038 2601 0.029 0.029 2601 0.155 0.155 2601 1.627 0.185 1.627 0.185
4.500 2601 0.026 0.026 2601 0.004 0.004 2601 0.016 0.016 2601 0.020 0.020 2601 0.025 0.025 2601 0.027 0.027 2601 0.040 0.041 2601 0.012 0.012 2601 0.073 0.073 2601 0.093 0.094 2601 0.096 0.096 2601 0.007 0.007 2601 0.049 0.049 2601 0.109 0.111 2601 0.084 0.084 2601 0.157 0.157 2601 0.072 0.072 2601 0.139 0.145 2601 0.126 0.155 2601 0.079 0.079 2601 0.000 0.000 2601 0.028 0.028 2601 0.016 0.016 2601 0.153 0.154 2601 1.449 0.157 1.492 0.157
5.000 2601 0.078 0.079 2601 0.010 0.010 2601 0.039 0.039 2601 0.070 0.070 2601 0.075 0.075 2601 0.056 0.056 2601 0.077 0.078 2601 0.043 0.043 2601 0.030 0.030 2601 0.189 0.190 2601 0.159 0.159 2601 0.064 0.064 2601 0.036 0.036 2601 0.280 0.282 2601 0.085 0.085 2601 0.178 0.178 2601 0.076 0.076 2601 0.209 0.216 2601 0.215 0.245 2601 0.044 0.045 2601 0.021 0.021 2601 0.124 0.125 2601 0.081 0.081 2601 0.239 0.240 2601 2.481 0.280 2.523 0.282
