time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load cpu.8.freq[MHz] cpu.8.recload cpu.8.load cpu.9.freq[MHz] cpu.9.recload cpu.9.load cpu.10.freq[MHz] cpu.10.recload cpu.10.load cpu.11.freq[MHz] cpu.11.recload cpu.11.load cpu.12.freq[MHz] cpu.12.recload cpu.12.load cpu.13.freq[MHz] cpu.13.recload cpu.13.load cpu.14.freq[MHz] cpu.14.recload cpu.14.load cpu.15.freq[MHz] cpu.15.recload cpu.15.load cpu.16.freq[MHz] cpu.16.recload cpu.16.load cpu.17.freq[MHz] cpu.17.recload cpu.17.load cpu.18.freq[MHz] cpu.18.recload cpu.18.load cpu.19.freq[MHz] cpu.19.recload cpu.19.load cpu.20.freq[MHz] cpu.20.recload cpu.20.load cpu.21.freq[MHz] cpu.21.recload cpu.21.load cpu.22.freq[MHz] cpu.22.recload cpu.22.load cpu.23.freq[MHz] cpu.23.recload cpu.23.load cpu.24.freq[MHz] cpu.24.recload cpu.24.load cpu.25.freq[MHz] cpu.25.recload cpu.25.load cpu.26.freq[MHz] cpu.26.recload cpu.26.load cpu.27.freq[MHz] cpu.27.recload cpu.27.load cpu.28.freq[MHz] cpu.28.recload cpu.28.load cpu.29.freq[MHz] cpu.29.recload cpu.29.load cpu.30.freq[MHz] cpu.30.recload cpu.30.load cpu.31.freq[MHz] cpu.31.recload cpu.31.load cpu.32.freq[MHz] cpu.32.recload cpu.32.load cpu.33.freq[MHz] cpu.33.recload cpu.33.load cpu.34.freq[MHz] cpu.34.recload cpu.34.load cpu.35.freq[MHz] cpu.35.recload cpu.35.load cpu.36.freq[MHz] cpu.36.recload cpu.36.load cpu.37.freq[MHz] cpu.37.recload cpu.37.load cpu.38.freq[MHz] cpu.38.recload cpu.38.load cpu.39.freq[MHz] cpu.39.recload cpu.39.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.500 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.006 0.006 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.042 0.042 2500 0.050 0.050 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.057 0.068 2500 0.025 0.025 2500 0.000 0.000 2500 0.000 0.000 2500 0.006 0.007 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.108 0.110 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.004 0.005 2500 0.298 0.108 0.311 0.110
1.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.003 0.003 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.021 0.021 1900 0.025 0.025 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.008 0.012 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.029 0.034 1900 0.013 0.013 1900 0.000 0.000 1900 0.000 0.000 1900 0.003 0.003 1900 0.000 0.000 1900 0.003 0.004 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.000 1900 0.002 0.003 1900 0.054 0.055 1900 0.021 0.031 1900 0.000 0.000 1900 0.002 0.003 1900 0.002 0.002 1900 0.185 0.054 0.208 0.055
1.500 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.004 0.005 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.022 0.028 1500 0.017 0.018 1500 0.000 0.000 1500 0.000 0.000 1500 0.002 0.003 1500 0.006 0.008 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.019 0.023 1500 0.008 0.008 1500 0.000 0.000 1500 0.000 0.000 1500 0.023 0.042 1500 0.000 0.000 1500 0.002 0.003 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.000 0.000 1500 0.001 0.002 1500 0.036 0.037 1500 0.014 0.020 1500 0.000 0.000 1500 0.002 0.002 1500 0.001 0.002 1500 0.156 0.036 0.199 0.042
2.000 1200 0.002 0.004 1200 0.000 0.000 1200 0.000 0.000 1200 0.003 0.003 1200 0.000 0.000 1200 0.000 0.000 1200 0.000 0.000 1200 0.016 0.021 1200 0.016 0.020 1200 0.000 0.000 1200 0.000 0.000 1200 0.001 0.002 1200 0.004 0.006 1200 0.000 0.000 1200 0.000 0.000 1200 0.000 0.000 1200 0.000 0.000 1200 0.000 0.000 1200 0.013 0.031 1200 0.000 0.000 1200 0.000 0.000 1200 0.014 0.017 1200 0.006 0.006 1200 0.000 0.000 1200 0.000 0.000 1200 0.017 0.032 1200 0.002 0.004 1200 0.001 0.002 1200 0.000 0.000 1200 0.000 0.000 1200 0.000 0.000 1200 0.000 0.000 1200 0.000 0.000 1200 0.000 0.000 1200 0.001 0.001 1200 0.041 0.059 1200 0.010 0.015 1200 0.000 0.000 1200 0.001 0.001 1200 0.005 0.010 1200 0.155 0.041 0.236 0.059
2.500 2500 0.002 0.004 2500 0.000 0.000 2500 0.002 0.002 2500 0.001 0.002 2500 0.004 0.010 2500 0.000 0.000 2500 0.004 0.010 2500 0.006 0.010 2500 0.005 0.010 2500 0.000 0.000 2500 0.004 0.010 2500 0.001 0.002 2500 0.004 0.006 2500 0.000 0.000 2500 0.017 0.024 2500 0.000 0.000 2500 0.000 0.000 2500 0.000 0.000 2500 0.070 0.792 2500 0.000 0.000 2500 0.000 0.000 2500 0.001 0.003 2500 0.002 0.002 2500 0.000 0.000 2500 0.004 0.005 2500 0.016 0.030 2500 0.002 0.004 2500 0.011 0.016 2500 0.000 0.000 2500 0.004 0.010 2500 0.000 0.000 2500 0.000 0.000 2500 0.006 0.012 2500 0.000 0.000 2500 0.001 0.001 2500 0.032 0.156 2500 0.010 0.015 2500 0.000 0.000 2500 0.001 0.001 2500 0.008 0.014 2500 0.219 0.070 1.153 0.792
3.000 2100 0.005 0.008 2100 0.000 0.000 2100 0.003 0.003 2100 0.001 0.002 2100 0.043 0.074 2100 0.000 0.000 2100 0.004 0.010 2100 0.006 0.010 2100 0.005 0.010 2100 0.000 0.000 2100 0.004 0.010 2100 0.001 0.002 2100 0.000 0.000 2100 0.000 0.000 2100 0.017 0.024 2100 0.000 0.000 2100 0.000 0.000 2100 0.000 0.000 2100 0.071 0.794 2100 0.000 0.000 2100 0.001 0.002 2100 0.001 0.003 2100 0.003 0.004 2100 0.008 0.011 2100 0.006 0.006 2100 0.016 0.030 2100 0.002 0.004 2100 0.009 0.014 2100 0.006 0.007 2100 0.004 0.010 2100 0.000 0.000 2100 0.000 0.000 2100 0.006 0.012 2100 0.000 0.000 2100 0.000 0.000 2100 0.032 0.156 2100 0.000 0.000 2100 0.000 0.000 2100 0.000 0.000 2100 0.008 0.014 2100 0.264 0.071 1.220 0.794
3.500 2801 0.005 0.008 2801 0.000 0.000 2801 0.003 0.003 2801 0.000 0.000 2801 0.043 0.086 2801 0.000 0.000 2801 0.004 0.010 2801 0.013 0.020 2801 0.005 0.010 2801 0.000 0.000 2801 0.004 0.010 2801 0.000 0.000 2801 0.000 0.000 2801 0.000 0.000 2801 0.017 0.024 2801 0.000 0.000 2801 0.001 0.001 2801 0.000 0.000 2801 0.071 0.794 2801 0.237 0.477 2801 0.001 0.002 2801 0.002 0.005 2801 0.003 0.004 2801 0.008 0.011 2801 0.006 0.006 2801 0.013 0.017 2801 0.002 0.004 2801 0.009 0.014 2801 0.006 0.007 2801 0.004 0.010 2801 0.000 0.000 2801 0.000 0.000 2801 0.006 0.012 2801 0.000 0.000 2801 0.004 0.004 2801 0.032 0.156 2801 0.000 0.000 2801 0.000 0.000 2801 0.000 0.000 2801 0.008 0.014 2801 0.509 0.237 1.708 0.794
4.000 2801 0.003 0.004 2801 0.000 0.000 2801 0.003 0.003 2801 0.000 0.000 2801 0.043 0.086 2801 0.000 0.000 2801 0.004 0.010 2801 0.013 0.020 2801 0.002 0.003 2801 0.000 0.000 2801 0.004 0.010 2801 0.000 0.000 2801 0.000 0.000 2801 0.014 0.014 2801 0.017 0.024 2801 0.000 0.000 2801 0.001 0.001 2801 0.000 0.000 2801 0.057 0.762 2801 0.483 0.979 2801 0.001 0.002 2801 0.002 0.005 2801 0.004 0.005 2801 0.008 0.011 2801 0.006 0.006 2801 0.013 0.017 2801 0.000 0.000 2801 0.013 0.017 2801 0.006 0.007 2801 0.004 0.010 2801 0.002 0.002 2801 0.000 0.000 2801 0.006 0.012 2801 0.000 0.000 2801 0.009 0.009 2801 0.019 0.125 2801 0.000 0.000 2801 0.002 0.002 2801 0.000 0.000 2801 0.005 0.006 2801 0.743 0.483 2.150 0.979
4.500 2500 0.003 0.004 2500 0.008 0.008 2500 0.000 0.001 2500 0.000 0.000 2500 0.039 0.077 2500 0.000 0.000 2500 0.000 0.000 2500 0.013 0.020 2500 0.001 0.001 2500 0.000 0.000 2500 0.007 0.007 2500 0.000 0.000 2500 0.000 0.000 2500 0.014 0.014 2500 0.000 0.000 2500 0.000 0.000 2500 0.001 0.001 2500 0.000 0.000 2500 0.001 0.001 2500 0.546 1.098 2500 0.006 0.006 2500 0.001 0.001 2500 0.003 0.004 2500 0.008 0.011 2500 0.002 0.002 2500 0.013 0.017 2500 0.000 0.000 2500 0.003 0.003 2500 0.006 0.007 2500 0.000 0.000 2500 0.002 0.002 2500 0.000 0.000 2500 0.003 0.003 2500 0.001 0.001 2500 0.032 0.032 2500 0.000 0.000 2500 0.000 0.000 2500 0.002 0.002 2500 0.000 0.000 2500 0.005 0.006 2500 0.719 0.546 1.327 1.098
5.000 1900 0.013 0.016 1900 0.008 0.008 1900 0.000 0.000 1900 0.000 0.000 1900 0.000 0.013 1900 0.000 0.000 1900 0.000 0.000 1900 0.014 0.022 1900 0.001 0.001 1900 0.000 0.000 1900 0.007 0.007 1900 0.000 0.000 1900 0.000 0.000 1900 0.014 0.014 1900 0.000 0.000 1900 0.001 0.001 1900 0.001 0.001 1900 0.000 0.000 1900 0.000 0.000 1900 0.546 1.098 1900 0.004 0.004 1900 0.001 0.001 1900 0.002 0.002 1900 0.000 0.000 1900 0.000 0.000 1900 0.013 0.017 1900 0.000 0.000 1900 0.003 0.003 1900 0.000 0.000 1900 0.000 0.000 1900 0.002 0.002 1900 0.000 0.000 1900 0.003 0.003 1900 0.001 0.001 1900 0.035 0.035 1900 0.000 0.000 1900 0.000 0.000 1900 0.002 0.002 1900 0.000 0.000 1900 0.008 0.009 1900 0.677 0.546 1.260 1.098
