time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.025 2000 0.999 0.999 2000 0.999 0.999 0.999 0.999
0.050 2000 0.998 0.998 2000 0.998 0.998 0.998 0.998
0.075 2000 0.998 0.998 2000 0.998 0.998 0.998 0.998
0.100 2000 0.997 0.997 2000 0.997 0.997 0.997 0.997
0.125 2000 0.996 0.996 2000 0.996 0.996 0.996 0.996
0.150 2000 0.995 0.995 2000 0.995 0.995 0.995 0.995
0.175 2000 0.994 0.994 2000 0.994 0.994 0.994 0.994
0.200 2000 0.993 0.993 2000 0.993 0.993 0.993 0.993
0.225 2000 0.993 0.993 2000 0.993 0.993 0.993 0.993
0.250 2000 0.992 0.992 2000 0.992 0.992 0.992 0.992
0.275 2000 0.991 0.991 2000 0.991 0.991 0.991 0.991
0.300 2000 0.990 0.990 2000 0.990 0.990 0.990 0.990
0.325 2000 0.989 0.989 2000 0.989 0.989 0.989 0.989
0.350 2000 0.988 0.988 2000 0.988 0.988 0.988 0.988
0.375 2000 0.988 0.988 2000 0.988 0.988 0.988 0.988
0.400 2000 0.987 0.987 2000 0.987 0.987 0.987 0.987
0.425 2000 0.986 0.986 2000 0.986 0.986 0.986 0.986
0.450 2000 0.985 0.985 2000 0.985 0.985 0.985 0.985
0.475 2000 0.984 0.984 2000 0.984 0.984 0.984 0.984
0.500 2000 0.983 0.983 2000 0.983 0.983 0.983 0.983
0.525 2000 0.983 0.983 2000 0.983 0.983 0.983 0.983
0.550 2000 0.982 0.982 2000 0.982 0.982 0.982 0.982
0.575 2000 0.981 0.981 2000 0.981 0.981 0.981 0.981
0.600 2000 0.980 0.980 2000 0.980 0.980 0.980 0.980
0.625 2000 0.979 0.979 2000 0.979 0.979 0.979 0.979
0.650 2000 0.978 0.978 2000 0.978 0.978 0.978 0.978
0.675 2000 0.978 0.978 2000 0.978 0.978 0.978 0.978
0.700 2000 0.977 0.977 2000 0.977 0.977 0.977 0.977
0.725 2000 0.976 0.976 2000 0.976 0.976 0.976 0.976
0.750 2000 0.975 0.975 2000 0.975 0.975 0.975 0.975
0.775 2000 0.974 0.974 2000 0.974 0.974 0.974 0.974
0.800 2000 0.973 0.973 2000 0.973 0.973 0.973 0.973
0.825 2000 0.973 0.973 2000 0.973 0.973 0.973 0.973
0.850 2000 0.972 0.972 2000 0.972 0.972 0.972 0.972
0.875 2000 0.971 0.971 2000 0.971 0.971 0.971 0.971
0.900 2000 0.970 0.970 2000 0.970 0.970 0.970 0.970
0.925 2000 0.969 0.969 2000 0.969 0.969 0.969 0.969
0.950 2000 0.968 0.968 2000 0.968 0.968 0.968 0.968
0.975 2000 0.968 0.968 2000 0.968 0.968 0.968 0.968
1.000 2000 0.967 0.967 2000 0.967 0.967 0.967 0.967
1.025 2000 0.966 0.966 2000 0.966 0.966 0.966 0.966
1.050 2000 0.965 0.965 2000 0.965 0.965 0.965 0.965
1.075 2000 0.964 0.964 2000 0.964 0.964 0.964 0.964
1.100 2000 0.963 0.963 2000 0.963 0.963 0.963 0.963
1.125 2000 0.963 0.963 2000 0.963 0.963 0.963 0.963
1.150 2000 0.962 0.962 2000 0.962 0.962 0.962 0.962
1.175 2000 0.961 0.961 2000 0.961 0.961 0.961 0.961
1.200 2000 0.960 0.960 2000 0.960 0.960 0.960 0.960
1.225 2000 0.959 0.959 2000 0.959 0.959 0.959 0.959
1.250 2000 0.958 0.958 2000 0.958 0.958 0.958 0.958
1.275 2000 0.958 0.958 2000 0.958 0.958 0.958 0.958
1.300 2000 0.957 0.957 2000 0.957 0.957 0.957 0.957
1.325 2000 0.956 0.956 2000 0.956 0.956 0.956 0.956
1.350 2000 0.955 0.955 2000 0.955 0.955 0.955 0.955
1.375 2000 0.954 0.954 2000 0.954 0.954 0.954 0.954
1.400 2000 0.953 0.953 2000 0.953 0.953 0.953 0.953
1.425 2000 0.953 0.953 2000 0.953 0.953 0.953 0.953
1.450 2000 0.952 0.952 2000 0.952 0.952 0.952 0.952
1.475 2000 0.951 0.951 2000 0.951 0.951 0.951 0.951
1.500 2000 0.950 0.950 2000 0.950 0.950 0.950 0.950
1.525 2000 0.949 0.949 2000 0.949 0.949 0.949 0.949
1.550 2000 0.948 0.948 2000 0.948 0.948 0.948 0.948
1.575 2000 0.948 0.948 2000 0.948 0.948 0.948 0.948
1.600 2000 0.947 0.947 2000 0.947 0.947 0.947 0.947
1.625 2000 0.946 0.946 2000 0.946 0.946 0.946 0.946
1.650 2000 0.945 0.945 2000 0.945 0.945 0.945 0.945
1.675 2000 0.944 0.944 2000 0.944 0.944 0.944 0.944
1.700 2000 0.943 0.943 2000 0.943 0.943 0.943 0.943
1.725 2000 0.943 0.943 2000 0.943 0.943 0.943 0.943
1.750 2000 0.942 0.942 2000 0.942 0.942 0.942 0.942
1.775 2000 0.941 0.941 2000 0.941 0.941 0.941 0.941
1.800 2000 0.940 0.940 2000 0.940 0.940 0.940 0.940
1.825 2000 0.939 0.939 2000 0.939 0.939 0.939 0.939
1.850 2000 0.938 0.938 2000 0.938 0.938 0.938 0.938
1.875 2000 0.938 0.938 2000 0.938 0.938 0.938 0.938
1.900 2000 0.937 0.937 2000 0.937 0.937 0.937 0.937
1.925 2000 0.936 0.936 2000 0.936 0.936 0.936 0.936
1.950 2000 0.935 0.935 2000 0.935 0.935 0.935 0.935
1.975 2000 0.934 0.934 2000 0.934 0.934 0.934 0.934
2.000 2000 0.933 0.933 2000 0.933 0.933 0.933 0.933
2.025 2000 0.932 0.932 2000 0.932 0.932 0.932 0.932
2.050 2000 0.932 0.932 2000 0.932 0.932 0.932 0.932
2.075 2000 0.931 0.931 2000 0.931 0.931 0.931 0.931
2.100 2000 0.930 0.930 2000 0.930 0.930 0.930 0.930
2.125 2000 0.929 0.929 2000 0.929 0.929 0.929 0.929
2.150 2000 0.928 0.928 2000 0.928 0.928 0.928 0.928
2.175 2000 0.927 0.927 2000 0.927 0.927 0.927 0.927
2.200 2000 0.927 0.927 2000 0.927 0.927 0.927 0.927
2.225 2000 0.926 0.926 2000 0.926 0.926 0.926 0.926
2.250 2000 0.925 0.925 2000 0.925 0.925 0.925 0.925
2.275 2000 0.924 0.924 2000 0.924 0.924 0.924 0.924
2.300 2000 0.923 0.923 2000 0.923 0.923 0.923 0.923
2.325 2000 0.922 0.922 2000 0.922 0.922 0.922 0.922
2.350 2000 0.922 0.922 2000 0.922 0.922 0.922 0.922
2.375 2000 0.921 0.921 2000 0.921 0.921 0.921 0.921
2.400 2000 0.920 0.920 2000 0.920 0.920 0.920 0.920
2.425 2000 0.919 0.919 2000 0.919 0.919 0.919 0.919
2.450 2000 0.918 0.918 2000 0.918 0.918 0.918 0.918
2.475 2000 0.917 0.917 2000 0.917 0.917 0.917 0.917
2.500 2000 0.917 0.917 2000 0.917 0.917 0.917 0.917
2.525 2000 0.916 0.916 2000 0.916 0.916 0.916 0.916
2.550 2000 0.915 0.915 2000 0.915 0.915 0.915 0.915
2.575 2000 0.914 0.914 2000 0.914 0.914 0.914 0.914
2.600 2000 0.913 0.913 2000 0.913 0.913 0.913 0.913
2.625 2000 0.912 0.912 2000 0.912 0.912 0.912 0.912
2.650 2000 0.912 0.912 2000 0.912 0.912 0.912 0.912
2.675 2000 0.911 0.911 2000 0.911 0.911 0.911 0.911
2.700 2000 0.910 0.910 2000 0.910 0.910 0.910 0.910
2.725 2000 0.909 0.909 2000 0.909 0.909 0.909 0.909
2.750 2000 0.908 0.908 2000 0.908 0.908 0.908 0.908
2.775 2000 0.907 0.907 2000 0.907 0.907 0.907 0.907
2.800 2000 0.907 0.907 2000 0.907 0.907 0.907 0.907
2.825 2000 0.906 0.906 2000 0.906 0.906 0.906 0.906
2.850 2000 0.905 0.905 2000 0.905 0.905 0.905 0.905
