time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.025 2000 0.001 0.001 2000 0.001 0.001 0.001 0.001
0.050 2000 0.002 0.002 2000 0.002 0.002 0.002 0.002
0.075 2000 0.003 0.003 2000 0.003 0.003 0.003 0.003
0.100 2000 0.003 0.003 2000 0.003 0.003 0.003 0.003
0.125 2000 0.004 0.004 2000 0.004 0.004 0.004 0.004
0.150 2000 0.005 0.005 2000 0.005 0.005 0.005 0.005
0.175 2000 0.006 0.006 2000 0.006 0.006 0.006 0.006
0.200 2000 0.007 0.007 2000 0.007 0.007 0.007 0.007
0.225 2000 0.007 0.007 2000 0.007 0.007 0.007 0.007
0.250 2000 0.008 0.008 2000 0.008 0.008 0.008 0.008
0.275 2000 0.009 0.009 2000 0.009 0.009 0.009 0.009
0.300 2000 0.010 0.010 2000 0.010 0.010 0.010 0.010
0.325 2000 0.011 0.011 2000 0.011 0.011 0.011 0.011
0.350 2000 0.012 0.012 2000 0.012 0.012 0.012 0.012
0.375 2000 0.013 0.013 2000 0.013 0.013 0.013 0.013
0.400 2000 0.013 0.013 2000 0.013 0.013 0.013 0.013
0.425 2000 0.014 0.014 2000 0.014 0.014 0.014 0.014
0.450 2000 0.015 0.015 2000 0.015 0.015 0.015 0.015
0.475 2000 0.016 0.016 2000 0.016 0.016 0.016 0.016
0.500 2000 0.017 0.017 2000 0.017 0.017 0.017 0.017
0.525 2000 0.018 0.018 2000 0.018 0.018 0.018 0.018
0.550 500 0.018 0.073 500 0.018 0.018 0.073 0.073
0.575 500 0.019 0.077 500 0.019 0.019 0.077 0.077
0.600 500 0.020 0.080 500 0.020 0.020 0.080 0.080
0.625 500 0.021 0.083 500 0.021 0.021 0.083 0.083
0.650 500 0.022 0.087 500 0.022 0.022 0.087 0.087
0.675 500 0.022 0.090 500 0.022 0.022 0.090 0.090
0.700 500 0.023 0.093 500 0.023 0.023 0.093 0.093
0.725 500 0.024 0.097 500 0.024 0.024 0.097 0.097
0.750 500 0.025 0.100 500 0.025 0.025 0.100 0.100
0.775 500 0.026 0.103 500 0.026 0.026 0.103 0.103
0.800 500 0.027 0.107 500 0.027 0.027 0.107 0.107
0.825 500 0.028 0.110 500 0.028 0.028 0.110 0.110
0.850 500 0.028 0.113 500 0.028 0.028 0.113 0.113
0.875 500 0.029 0.117 500 0.029 0.029 0.117 0.117
