time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.025 2000 0.001 0.001 2000 0.001 0.001 0.001 0.001
0.050 2000 0.002 0.002 2000 0.002 0.002 0.002 0.002
0.075 2000 0.003 0.003 2000 0.003 0.003 0.003 0.003
0.100 2000 0.003 0.003 2000 0.003 0.003 0.003 0.003
0.125 2000 0.004 0.004 2000 0.004 0.004 0.004 0.004
0.150 2000 0.005 0.005 2000 0.005 0.005 0.005 0.005
0.175 2000 0.006 0.006 2000 0.006 0.006 0.006 0.006
0.200 2000 0.007 0.007 2000 0.007 0.007 0.007 0.007
0.225 2000 0.007 0.007 2000 0.007 0.007 0.007 0.007
0.250 2000 0.008 0.008 2000 0.008 0.008 0.008 0.008
0.275 2000 0.009 0.009 2000 0.009 0.009 0.009 0.009
0.300 1800 0.010 0.011 1800 0.010 0.010 0.011 0.011
0.325 1800 0.011 0.012 1800 0.011 0.011 0.012 0.012
0.350 1800 0.012 0.013 1800 0.012 0.012 0.013 0.013
0.375 1800 0.013 0.014 1800 0.013 0.013 0.014 0.014
0.400 1800 0.013 0.015 1800 0.013 0.013 0.015 0.015
0.425 1800 0.014 0.016 1800 0.014 0.014 0.016 0.016
0.450 1800 0.015 0.017 1800 0.015 0.015 0.017 0.017
0.475 1800 0.016 0.018 1800 0.016 0.016 0.018 0.018
0.500 1800 0.017 0.019 1800 0.017 0.017 0.019 0.019
0.525 1800 0.018 0.019 1800 0.018 0.018 0.019 0.019
0.550 1600 0.018 0.023 1600 0.018 0.018 0.023 0.023
0.575 1600 0.019 0.024 1600 0.019 0.019 0.024 0.024
0.600 1600 0.020 0.025 1600 0.020 0.020 0.025 0.025
0.625 1600 0.021 0.026 1600 0.021 0.021 0.026 0.026
0.650 1600 0.022 0.027 1600 0.022 0.022 0.027 0.027
0.675 1600 0.022 0.028 1600 0.022 0.022 0.028 0.028
0.700 1600 0.023 0.029 1600 0.023 0.023 0.029 0.029
0.725 1600 0.024 0.030 1600 0.024 0.024 0.030 0.030
0.750 1600 0.025 0.031 1600 0.025 0.025 0.031 0.031
0.775 1600 0.026 0.032 1600 0.026 0.026 0.032 0.032
0.800 1400 0.027 0.038 1400 0.027 0.027 0.038 0.038
0.825 1400 0.028 0.039 1400 0.028 0.028 0.039 0.039
0.850 1400 0.028 0.040 1400 0.028 0.028 0.040 0.040
