time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load cpu.8.freq[MHz] cpu.8.recload cpu.8.load cpu.9.freq[MHz] cpu.9.recload cpu.9.load cpu.10.freq[MHz] cpu.10.recload cpu.10.load cpu.11.freq[MHz] cpu.11.recload cpu.11.load cpu.12.freq[MHz] cpu.12.recload cpu.12.load cpu.13.freq[MHz] cpu.13.recload cpu.13.load cpu.14.freq[MHz] cpu.14.recload cpu.14.load cpu.15.freq[MHz] cpu.15.recload cpu.15.load cpu.16.freq[MHz] cpu.16.recload cpu.16.load cpu.17.freq[MHz] cpu.17.recload cpu.17.load cpu.18.freq[MHz] cpu.18.recload cpu.18.load cpu.19.freq[MHz] cpu.19.recload cpu.19.load cpu.20.freq[MHz] cpu.20.recload cpu.20.load cpu.21.freq[MHz] cpu.21.recload cpu.21.load cpu.22.freq[MHz] cpu.22.recload cpu.22.load cpu.23.freq[MHz] cpu.23.recload cpu.23.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.250 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.050 0.050 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.033 0.033 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.033 0.033 3401 0.000 0.000 3401 0.392 0.392 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.133 0.133 3401 0.022 0.022 3401 0.000 0.000 3401 0.000 0.000 3401 0.275 0.275 3401 0.939 0.392 0.939 0.392
0.500 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.050 0.050 3401 0.000 0.000 3401 0.000 0.000 3401 0.014 0.014 3401 0.000 0.000 3401 0.100 0.100 3401 0.000 0.000 3401 0.417 0.417 3401 0.267 0.267 3401 0.000 0.000 3401 0.100 0.100 3401 0.020 0.020 3401 0.000 0.000 3401 0.025 0.025 3401 0.000 0.000 3401 0.175 0.175 3401 0.033 0.033 3401 1.201 0.417 1.201 0.417
0.750 3401 0.033 0.033 3401 0.052 0.052 3401 0.020 0.020 3401 0.033 0.033 3401 0.033 0.033 3401 0.000 0.000 3401 0.000 0.000 3401 0.013 0.013 3401 0.000 0.000 3401 0.100 0.100 3401 0.000 0.000 3401 0.000 0.000 3401 0.050 0.050 3401 0.000 0.000 3401 0.100 0.100 3401 0.000 0.000 3401 0.050 0.050 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.020 0.020 3401 0.867 0.867 3401 0.000 0.000 3401 1.371 0.867 1.371 0.867
1.000 3401 0.000 0.000 3401 0.075 0.075 3401 0.000 0.000 3401 0.020 0.020 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.367 0.367 3401 0.000 0.000 3401 0.025 0.025 3401 0.000 0.000 3401 0.050 0.050 3401 0.007 0.007 3401 0.000 0.000 3401 1.000 1.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.717 0.717 3401 0.200 0.200 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.150 0.150 3401 0.400 0.400 3401 3.011 1.000 3.011 1.000
1.250 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.100 0.100 3401 0.000 0.000 3401 0.083 0.083 3401 0.033 0.033 3401 0.000 0.000 3401 0.033 0.033 3401 0.725 0.725 3401 0.000 0.000 3401 0.600 0.600 3401 0.000 0.000 3401 0.133 0.133 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.875 0.875 3401 2.583 0.875 2.583 0.875
1.500 3401 0.000 0.000 3401 0.000 0.000 3401 0.167 0.167 3401 0.000 0.000 3401 0.000 0.000 3401 0.140 0.140 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.033 0.033 3401 0.000 0.000 3401 0.025 0.025 3401 0.000 0.000 3401 0.217 0.217 3401 0.000 0.000 3401 0.000 0.000 3401 0.100 0.100 3401 0.000 0.000 3401 0.033 0.033 3401 0.000 0.000 3401 0.287 0.287 3401 1.002 0.287 1.002 0.287
1.750 3401 0.000 0.000 3401 0.033 0.033 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.200 0.200 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.092 0.092 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.067 0.067 3401 0.000 0.000 3401 0.000 0.000 3401 0.250 0.250 3401 0.000 0.000 3401 0.349 0.349 3401 0.025 0.025 3401 0.000 0.000 3401 1.015 0.349 1.015 0.349
2.000 3401 0.083 0.083 3401 0.050 0.050 3401 0.167 0.167 3401 0.133 0.133 3401 0.033 0.033 3401 0.000 0.000 3401 0.014 0.014 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.075 0.075 3401 0.000 0.000 3401 0.014 0.014 3401 0.050 0.050 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.014 0.014 3401 0.033 0.033 3401 0.000 0.000 3401 0.667 0.667 3401 0.033 0.033 3401 0.100 0.100 3401 1.468 0.667 1.468 0.667
2.250 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.100 0.100 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.033 0.033 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.014 0.014 3401 0.300 0.300 3401 0.000 0.000 3401 0.075 0.075 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.100 0.100 3401 0.033 0.033 3401 0.000 0.000 3401 0.208 0.208 3401 0.864 0.300 0.864 0.300
2.500 3401 0.025 0.025 3401 0.000 0.000 3401 0.058 0.058 3401 0.000 0.000 3401 0.017 0.017 3401 0.000 0.000 3401 0.000 0.000 3401 0.033 0.033 3401 0.000 0.000 3401 0.000 0.000 3401 0.000 0.000 3401 0.025 0.025 3401 0.000 0.000 3401 0.050 0.050 3401 0.842 0.842 3401 0.000 0.000 3401 0.000 0.000 3401 0.025 0.025 3401 0.000 0.000 3401 0.000 0.000 3401 0.020 0.020 3401 0.000 0.000 3401 0.329 0.329 3401 0.000 0.000 3401 1.424 0.842 1.424 0.842
