time[s] cpu.0.freq[Mhz] cpu.0.recload cpu.0.load cpu.1.freq[Mhz] cpu.1.recload cpu.1.load cpu.2.freq[Mhz] cpu.2.recload cpu.2.load cpu.3.freq[Mhz] cpu.3.recload cpu.3.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.250 1700 0.167 0.167 1700 0.692 0.692 1700 0.317 0.317 1700 0.000 0.000 1700 1.175 0.692 1.175 0.692
0.500 1700 0.033 0.033 1700 0.033 0.033 1700 0.000 0.000 1700 0.000 0.000 1700 0.067 0.033 0.067 0.033
0.750 1700 0.025 0.025 1700 0.014 0.014 1700 0.033 0.033 1700 0.120 0.120 1700 0.193 0.120 0.193 0.120
1.000 1700 0.433 0.433 1700 0.117 0.117 1700 0.342 0.342 1700 0.467 0.467 1700 1.358 0.467 1.358 0.467
1.250 900 0.725 3.705 900 0.558 1.214 900 0.283 0.600 900 0.592 3.195 900 2.158 0.725 8.714 3.705
1.500 900 0.033 0.641 900 0.067 1.300 900 0.033 0.063 900 0.083 0.676 900 0.217 0.083 2.680 1.300
1.750 768 0.025 0.055 768 0.014 0.032 768 0.014 0.027 768 0.000 0.000 768 0.054 0.025 0.114 0.055
2.000 768 0.033 0.074 768 0.025 0.055 768 0.000 0.000 768 0.020 0.044 768 0.078 0.033 0.173 0.074
2.250 768 0.000 0.000 768 0.033 0.074 768 0.000 0.000 768 0.183 0.481 768 0.217 0.183 0.555 0.481
2.500 768 0.000 0.000 768 0.092 0.250 768 0.000 0.000 768 0.000 0.000 768 0.092 0.092 0.250 0.250
2.750 768 0.033 0.074 768 0.117 0.384 768 0.483 2.968 768 0.267 0.902 768 0.900 0.483 4.329 2.968
3.000 768 0.233 1.271 768 0.175 0.387 768 0.400 2.679 768 0.533 6.012 768 1.342 0.533 10.348 6.012
3.250 768 0.258 1.126 768 0.233 1.025 768 0.000 1.035 768 1.000 12.867 768 1.492 1.000 16.053 12.867
3.500 768 0.492 1.864 768 0.067 0.195 768 0.333 2.400 768 0.573 16.234 768 1.465 0.573 20.694 16.234
3.750 900 0.900 9.770 900 0.025 0.047 900 0.900 4.926 900 0.100 15.200 900 1.925 0.900 29.943 15.200
4.000 900 0.142 7.392 900 0.058 0.110 900 1.000 13.726 900 0.133 4.164 900 1.333 1.000 25.392 13.726
4.250 1700 0.092 0.837 1700 0.417 0.527 1700 0.450 9.961 1700 0.600 0.900 1700 1.558 0.600 12.225 9.961
4.500 1700 0.067 0.067 1700 0.033 0.033 1700 0.175 1.108 1700 0.833 0.833 1700 1.108 0.833 2.042 1.108
4.750 2401 0.058 0.041 2401 0.433 0.307 2401 0.125 0.118 2401 0.442 0.313 2401 1.058 0.442 0.779 0.442
5.000 2401 0.467 0.330 2401 0.558 0.395 2401 0.075 0.053 2401 0.267 0.189 2401 1.367 0.558 0.968 0.558
5.250 2401 0.067 0.047 2401 0.967 0.684 2401 0.033 0.024 2401 0.400 0.283 2401 1.467 0.967 1.038 0.967
5.500 2401 0.117 0.083 2401 1.000 0.708 2401 0.033 0.024 2401 0.125 0.088 2401 1.275 1.000 0.903 1.000
5.750 2401 0.500 0.354 2401 0.100 0.071 2401 0.433 0.307 2401 0.125 0.088 2401 1.158 0.500 0.820 0.500
6.000 2401 0.083 0.059 2401 0.258 0.183 2401 0.875 0.620 2401 0.350 0.248 2401 1.567 0.875 1.109 0.875
6.250 2300 0.608 0.446 2300 0.408 0.300 2300 0.400 0.295 2300 0.692 0.508 2300 2.108 0.692 1.550 0.692
6.500 2300 0.250 0.185 2300 0.208 0.154 2300 0.058 0.043 2300 1.000 0.739 2300 1.517 1.000 1.121 1.000
6.750 2200 0.558 0.430 2200 0.067 0.049 2200 0.467 0.359 2200 0.067 0.050 2200 1.158 0.558 0.888 0.558
7.000 2200 0.642 0.496 2200 0.392 0.303 2200 0.533 0.412 2200 0.275 0.213 2200 1.842 0.642 1.423 0.642
7.250 1800 0.633 0.581 1800 0.892 0.825 1800 0.692 0.636 1800 0.717 0.660 1800 2.933 0.892 2.702 0.892
7.500 1800 0.533 0.504 1800 0.392 0.370 1800 0.267 0.252 1800 0.667 0.630 1800 1.858 0.667 1.755 0.667
7.750 1800 0.467 0.441 1800 0.408 0.386 1800 0.175 0.165 1800 1.000 0.945 1800 2.050 1.000 1.938 1.000
8.000 1800 0.075 0.071 1800 0.083 0.079 1800 0.200 0.189 1800 0.975 0.920 1800 1.333 0.975 1.259 0.975
8.250 2401 0.000 0.000 2401 0.058 0.041 2401 1.000 0.732 2401 0.700 0.519 2401 1.758 1.000 1.292 1.000
8.500 2401 0.025 0.018 2401 0.000 0.000 2401 1.000 0.708 2401 0.000 0.000 2401 1.025 1.000 0.726 1.000
8.750 2401 0.067 0.047 2401 0.667 0.472 2401 0.425 0.301 2401 0.000 0.000 2401 1.158 0.667 0.820 0.667
9.000 2401 0.250 0.177 2401 0.900 0.637 2401 0.600 0.425 2401 0.467 0.330 2401 2.217 0.900 1.569 0.900
9.250 2401 0.467 0.330 2401 0.800 0.566 2401 0.500 0.354 2401 0.325 0.230 2401 2.092 0.800 1.481 0.800
9.500 2401 0.033 0.024 2401 1.000 0.708 2401 0.000 0.000 2401 0.025 0.018 2401 1.058 1.000 0.749 1.000
9.750 2400 0.033 0.024 2400 0.342 0.242 2400 0.400 0.283 2400 0.383 0.271 2400 1.158 0.400 0.820 0.400
10.000 2400 0.325 0.230 2400 0.550 0.389 2400 1.000 0.708 2400 0.100 0.071 2400 1.975 1.000 1.399 1.000
10.250 2401 0.600 0.425 2401 0.200 0.142 2401 0.467 0.330 2401 0.467 0.330 2401 1.733 0.600 1.227 0.600
10.500 2401 0.000 0.000 2401 0.000 0.000 2401 1.000 0.708 2401 0.000 0.000 2401 1.000 1.000 0.708 1.000
10.750 2401 0.050 0.035 2401 0.100 0.071 2401 0.558 0.395 2401 0.433 0.307 2401 1.142 0.558 0.808 0.558
11.000 2401 0.333 0.236 2401 0.325 0.230 2401 0.333 0.236 2401 0.400 0.283 2401 1.392 0.400 0.985 0.400
11.250 2401 0.025 0.018 2401 0.800 0.566 2401 0.433 0.307 2401 0.333 0.236 2401 1.592 0.800 1.127 0.800
11.500 2401 0.000 0.000 2401 0.100 0.071 2401 0.020 0.014 2401 0.900 0.637 2401 1.020 0.900 0.722 0.900
11.750 2401 0.167 0.118 2401 0.692 0.490 2401 0.242 0.171 2401 0.092 0.065 2401 1.192 0.692 0.844 0.692
12.000 2401 0.108 0.077 2401 0.183 0.130 2401 0.442 0.313 2401 0.725 0.513 2401 1.458 0.725 1.033 0.725
12.250 2000 0.067 0.057 2000 0.525 0.422 2000 0.092 0.073 2000 0.967 0.793 2000 1.650 0.967 1.346 0.967
12.500 2000 0.033 0.028 2000 0.000 0.000 2000 0.000 0.000 2000 1.000 0.850 2000 1.033 1.000 0.878 1.000
