time[s] cpu.0.freq[Mhz] cpu.0.recload cpu.0.load cpu.1.freq[Mhz] cpu.1.recload cpu.1.load cpu.2.freq[Mhz] cpu.2.recload cpu.2.load cpu.3.freq[Mhz] cpu.3.recload cpu.3.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.025 1700 0.000 0.000 1700 0.333 0.333 1700 1.000 1.000 1700 0.000 0.000 1700 1.333 1.000 1.333 1.000
0.050 1700 0.333 0.333 1700 0.333 0.333 1700 1.000 1.000 1700 0.000 0.000 1700 1.667 1.000 1.667 1.000
0.075 1700 0.667 0.667 1700 0.667 0.667 1700 0.667 0.667 1700 0.000 0.000 1700 2.000 0.667 2.000 0.667
0.100 1700 0.667 0.667 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 1.667 1.000 1.667 1.000
0.125 1700 0.000 0.000 1700 1.000 1.000 1700 0.250 0.250 1700 0.000 0.000 1700 1.250 1.000 1.250 1.000
0.150 1700 0.000 0.000 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 1.000 1.000 1.000 1.000
0.175 1700 0.000 0.000 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 1.000 1.000 1.000 1.000
0.200 1700 0.000 0.000 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 1.000 1.000 1.000 1.000
0.225 1700 0.000 0.000 1700 0.333 0.333 1700 0.000 0.000 1700 0.000 0.000 1700 0.333 0.333 0.333 0.333
0.250 1700 0.000 0.000 1700 0.250 0.250 1700 0.250 0.250 1700 0.000 0.000 1700 0.500 0.250 0.500 0.250
0.275 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.300 1700 0.333 0.333 1700 0.333 0.333 1700 0.000 0.000 1700 0.000 0.000 1700 0.667 0.333 0.667 0.333
0.325 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.350 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.375 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.400 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.425 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.450 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.475 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.500 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.525 1700 0.000 0.000 1700 0.000 0.000 1700 0.333 0.333 1700 0.000 0.000 1700 0.333 0.333 0.333 0.333
0.550 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.575 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.600 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.625 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.650 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.675 1700 0.250 0.250 1700 0.143 0.143 1700 0.000 0.000 1700 0.200 0.200 1700 0.593 0.250 0.593 0.250
0.700 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 1.000 1.000 1700 1.000 1.000 1.000 1.000
0.725 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.750 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.775 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.800 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.825 1700 0.000 0.000 1700 0.000 0.000 1700 0.500 0.500 1700 0.000 0.000 1700 0.500 0.500 0.500 0.500
0.850 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.875 1700 0.000 0.000 1700 0.250 0.250 1700 0.250 0.250 1700 1.000 1.000 1700 1.500 1.000 1.500 1.000
0.900 1700 0.667 0.667 1700 0.000 0.000 1700 0.333 0.333 1700 0.667 0.667 1700 1.667 0.667 1.667 0.667
0.925 1700 0.667 0.667 1700 0.000 0.000 1700 0.667 0.667 1700 0.333 0.333 1700 1.667 0.667 1.667 0.667
0.950 1700 1.000 1.000 1700 0.333 0.333 1700 1.000 1.000 1700 1.000 1.000 1700 3.333 1.000 3.333 1.000
0.975 1700 1.000 1.000 1700 0.250 0.250 1700 0.667 0.667 1700 1.000 1.000 1700 2.917 1.000 2.917 1.000
1.000 1700 1.000 1.000 1700 0.333 0.333 1700 0.000 0.000 1700 0.667 0.667 1700 2.000 1.000 2.000 1.000
1.025 1700 1.000 1.000 1700 1.000 1.000 1700 0.000 0.000 1700 0.000 0.000 1700 2.000 1.000 2.000 1.000
1.050 900 1.000 1.889 900 0.667 1.259 900 0.667 1.259 900 0.667 1.259 900 3.000 1.000 5.667 1.889
1.075 900 1.000 2.778 900 0.333 0.889 900 0.667 1.519 900 1.000 2.148 900 3.000 1.000 7.333 2.778
