time[s] cpu.0.freq[Mhz] cpu.0.recload cpu.0.load cpu.1.freq[Mhz] cpu.1.recload cpu.1.load cpu.2.freq[Mhz] cpu.2.recload cpu.2.load cpu.3.freq[Mhz] cpu.3.recload cpu.3.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.025 1700 0.271 0.220 1700 0.264 0.213 1700 0.316 0.266 1700 0.281 0.226 1700 1.131 0.316 0.925 0.316
0.050 1700 0.258 0.208 1700 0.260 0.210 1700 0.307 0.256 1700 0.275 0.220 1700 1.100 0.307 0.893 0.307
0.075 1700 0.262 0.209 1700 0.260 0.210 1700 0.297 0.245 1700 0.275 0.220 1700 1.094 0.297 0.884 0.297
0.100 1700 0.258 0.205 1700 0.265 0.213 1700 0.284 0.233 1700 0.279 0.223 1700 1.086 0.284 0.873 0.284
0.125 1700 0.262 0.208 1700 0.265 0.213 1700 0.272 0.220 1700 0.287 0.229 1700 1.086 0.287 0.869 0.287
0.150 1700 0.262 0.208 1700 0.265 0.213 1700 0.259 0.208 1700 0.283 0.224 1700 1.069 0.283 0.853 0.283
0.175 1700 0.267 0.211 1700 0.265 0.213 1700 0.247 0.195 1700 0.283 0.224 1700 1.061 0.283 0.843 0.283
0.200 1700 0.270 0.214 1700 0.261 0.209 1700 0.247 0.195 1700 0.283 0.224 1700 1.061 0.283 0.843 0.283
0.225 1700 0.270 0.214 1700 0.261 0.209 1700 0.247 0.195 1700 0.283 0.224 1700 1.061 0.283 0.843 0.283
0.250 1700 0.270 0.214 1700 0.261 0.209 1700 0.247 0.195 1700 0.283 0.224 1700 1.061 0.283 0.843 0.283
0.275 1700 0.274 0.217 1700 0.261 0.209 1700 0.247 0.195 1700 0.283 0.224 1700 1.065 0.283 0.846 0.283
0.300 2401 0.274 0.217 2401 0.261 0.209 2401 0.247 0.195 2401 0.283 0.224 2401 1.065 0.283 0.846 0.283
0.325 2401 0.278 0.220 2401 0.261 0.209 2401 0.247 0.195 2401 0.283 0.224 2401 1.069 0.283 0.849 0.283
0.350 2401 0.291 0.230 2401 0.261 0.209 2401 0.247 0.195 2401 0.287 0.228 2401 1.086 0.291 0.862 0.291
0.375 2401 0.299 0.237 2401 0.257 0.207 2401 0.247 0.195 2401 0.287 0.228 2401 1.090 0.299 0.866 0.299
0.400 2401 0.311 0.246 2401 0.257 0.207 2401 0.247 0.195 2401 0.287 0.228 2401 1.103 0.311 0.876 0.311
0.425 2401 0.320 0.254 2401 0.270 0.218 2401 0.259 0.207 2401 0.300 0.239 2401 1.149 0.320 0.917 0.320
0.450 2401 0.320 0.254 2401 0.278 0.225 2401 0.272 0.218 2401 0.300 0.239 2401 1.169 0.320 0.935 0.320
0.475 2401 0.324 0.257 2401 0.278 0.225 2401 0.284 0.229 2401 0.300 0.239 2401 1.186 0.324 0.950 0.324
0.500 2401 0.315 0.251 2401 0.281 0.228 2401 0.297 0.240 2401 0.300 0.239 2401 1.192 0.315 0.958 0.315
0.525 2401 0.310 0.248 2401 0.277 0.225 2401 0.305 0.248 2401 0.297 0.237 2401 1.189 0.310 0.958 0.310
0.550 2401 0.310 0.248 2200 0.285 0.232 2200 0.313 0.256 2200 0.297 0.237 2401 1.206 0.313 0.973 0.313
0.575 2200 0.319 0.255 2200 0.298 0.244 2200 0.317 0.260 2200 0.303 0.242 2200 1.237 0.319 1.001 0.319
0.600 2200 0.331 0.267 2200 0.306 0.251 2200 0.317 0.260 2200 0.303 0.242 2200 1.258 0.331 1.019 0.331
0.625 2200 0.344 0.278 2200 0.319 0.262 2200 0.317 0.260 2200 0.303 0.242 2200 1.283 0.344 1.042 0.344
0.650 2200 0.352 0.285 2200 0.315 0.260 2200 0.313 0.257 2200 0.311 0.250 2200 1.291 0.352 1.051 0.352
0.675 2200 0.352 0.285 2200 0.306 0.253 2200 0.309 0.254 2200 0.320 0.255 2200 1.287 0.352 1.047 0.352
0.700 2200 0.365 0.293 2200 0.300 0.248 2200 0.305 0.250 2200 0.315 0.251 2200 1.285 0.365 1.044 0.365
0.725 2200 0.377 0.302 2200 0.300 0.248 2200 0.305 0.250 2200 0.315 0.251 2200 1.297 0.377 1.052 0.377
0.750 2200 0.390 0.311 2200 0.300 0.248 2200 0.305 0.250 2200 0.320 0.254 2200 1.314 0.390 1.064 0.390
0.775 2200 0.402 0.320 2200 0.300 0.248 2200 0.308 0.252 2200 0.323 0.257 2200 1.333 0.402 1.077 0.402
0.800 2200 0.406 0.323 2200 0.300 0.248 2200 0.304 0.249 2200 0.326 0.259 2200 1.336 0.406 1.079 0.406
0.825 1900 0.398 0.316 1900 0.296 0.245 1900 0.300 0.245 1900 0.330 0.260 1900 1.324 0.398 1.065 0.398
0.850 1900 0.385 0.304 1900 0.283 0.233 1900 0.291 0.238 1900 0.334 0.261 1900 1.295 0.385 1.037 0.385
