time[s] cpu.0.freq[Mhz] cpu.0.recload cpu.0.load cpu.1.freq[Mhz] cpu.1.recload cpu.1.load cpu.2.freq[Mhz] cpu.2.recload cpu.2.load cpu.3.freq[Mhz] cpu.3.recload cpu.3.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
0.025 1700 1.000 1.000 1700 0.667 0.667 1700 0.667 0.667 1700 0.667 0.667 1700 3.000 1.000 3.000 1.000
0.050 1700 1.000 1.000 1700 0.250 0.250 1700 1.000 1.000 1700 0.500 0.500 1700 2.750 1.000 2.750 1.000
0.075 1700 0.333 0.333 1700 0.000 0.000 1700 1.000 1.000 1700 0.000 0.000 1700 1.333 1.000 1.333 1.000
0.100 1700 0.333 0.333 1700 0.000 0.000 1700 1.000 1.000 1700 0.000 0.000 1700 1.333 1.000 1.333 1.000
0.125 1700 0.000 0.000 1700 0.000 0.000 1700 1.000 1.000 1700 0.000 0.000 1700 1.000 1.000 1.000 1.000
0.150 1700 0.000 0.000 1700 0.000 0.000 1700 1.000 1.000 1700 0.333 0.333 1700 1.333 1.000 1.333 1.000
0.175 1700 0.000 0.000 1700 0.000 0.000 1700 1.000 1.000 1700 0.000 0.000 1700 1.000 1.000 1.000 1.000
0.200 1700 0.000 0.000 1700 0.250 0.250 1700 0.000 0.000 1700 0.000 0.000 1700 0.250 0.250 0.250 0.250
0.225 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.250 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.275 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.300 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.325 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.350 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.375 1700 0.333 0.333 1700 0.333 0.333 1700 0.250 0.250 1700 0.000 0.000 1700 0.917 0.333 0.917 0.333
0.400 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.425 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.450 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.475 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 0.000 0.000
0.500 1700 0.750 0.750 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.750 0.750 0.750 0.750
